"ID","CL","OP","HI","LO","VO","RSV","K","D","EMA","EMA.1","EMA.2","EMA.3","EMA.4","EMA.5","William_11","William_33","William_89","EMA.6","MTM","m_MTM","a_MTM"
"2010-10-18",67,0.097,0.1024,0.1019,0.097,62300,79.8165137614679,85.5702116904492,85.7805335242953,0.0987570178639854,0.0899364957666169,0.0793836298366141,0.0105528659300028,0.00730583723819536,0.00324702869180743,79.8165137614679,52.7272727272727,0,0.0923699042775823,0.03419,0.370142204513443,-0.0787252552326413
"2010-10-19",68,0.099,0.097,0.103,0.094,322100,81.651376146789,84.2639331758958,85.2750000748288,0.0988380119093236,0.0913308810332912,0.0808366942931612,0.01049418674013,0.00794350713858229,0.00255067960154772,81.651376146789,53.9393939393939,0,0.0935753762271128,0.032,0.341970305546346,-0.0281718989670972
"2010-10-20",69,0.107,0.099,0.109,0.097,461600,77.7777777777778,82.1018813765231,84.2172938420602,0.101558674606216,0.0937415147204772,0.0827747169381123,0.010966797782365,0.00854816526733882,0.00241863251502613,88.9908256880734,58.7878787878788,0,0.0960162169130923,0.02015,0.209860382421008,-0.132109923125338
"2010-10-21",70,0.1025,0.107,0.109,0.1015,366500,69.4444444444444,77.8827357324969,82.1057744722058,0.101872449737477,0.0950889739942499,0.0842358490167706,0.0108531249774793,0.00900915720936692,0.0018439677681124,84.8623853211009,56.0606060606061,0,0.0971950865652573,0.00749999999999999,0.0771643944672497,-0.132695987953758
"2010-10-24",71,0.132,0.115,0.19,0.09009,445000,53.6,69.7884904883313,78.0000131442476,0.111914966491651,0.10076759337975,0.0877739342747876,0.0129936591049623,0.00980605758848601,0.00318760151647633,53.6,67.7777777777778,0,0.103523252644301,0.0371,0.358373592911276,0.281209198444026
"2010-10-25",72,0.1503,0.132,0.18,0.133,299500,68.24,69.2723269922208,75.0907844269053,0.124709977661101,0.108387963629019,0.0924054946988774,0.0159824689301418,0.0110413398568172,0.00494112907332462,68.24,77.9444444444444,0,0.112028115799883,0.0453,0.404362776938245,0.0459891840269697
"2010-10-26",73,0.1877,0.1503,0.19,0.151,1159400,97.6979281353218,78.7475273732545,76.309698742355,0.145706651774067,0.120589815378401,0.099464346943405,0.0211254684349959,0.0130581655724529,0.00806730286254295,98.16,98.7222222222222,0,0.125786640199904,0.0857,0.681312418105792,0.276949641167547
"2010-10-27",74,0.1731,0.1877,0.191,0.1731,400900,82.2614210682787,79.9188252715959,77.5127409187687,0.154837767849378,0.128668305320185,0.104918839762412,0.0237494655577733,0.015196425569517,0.00855303998825632,85.7936507936508,90.1104972375691,0,0.134389069254467,0.0681,0.50673764151943,-0.174574776586362
"2010-10-28",75,0.19,0.1731,0.19,0.173,538000,99.0090179367754,86.2822228266557,80.435901554731,0.166558511899585,0.138103950655541,0.111221147928159,0.0268828027273821,0.01753370100109,0.00934910172629213,99.0090179367753,99.4475138121547,0,0.144500147571837,0.0876,0.606227754587244,0.0994901130678141
"2010-11-01",76,0.1955,0.1925,0.1955,0.172,404900,100,90.8548152177705,83.9088727757442,0.176205674599724,0.14693411209315,0.117464025859407,0.0294700862337437,0.0199209780476207,0.00954910818612294,100,100,0,0.153772848013321,0.0985,0.640555216818688,0.0343274622314441
"2010-11-02",77,0.1938,0.1955,0.195,0.1905,112100,98.3872497865478,93.3656267406962,87.0611240973948,0.182070449733149,0.154144248694204,0.123118542462414,0.0310257062317906,0.0221419236844547,0.00888378254733586,98.3872497865478,99.0835579514825,0,0.161050512010899,0.0948,0.588635197841436,-0.0519200189772527
